Amy Friend,Merijean Morrissey
"Restriction: students must have a minimum 75 percent major average, a minimum 15.0 overall credits and permission of the Department.","Note: projects must be arranged in the Spring for the following year. A written proposal, normally submitted in May of each year, must be approved by the Department before registration. Honours standing in VISA is required. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
#VISA 4P01,Creating Social Value from Material Culture
"Theory and practice of creating social value from material culture. Curatorial and interpretive practice in public institutions focusing on art, human and natural history, and science and technology. Informal learning theory, authority structures and community engagement, audience segmentation and selection, exhibit design, and collections development within social and political contexts.","Lectures, seminar, 3 hours per week."
Restriction: students must have a minimum 10.0 overall credits or permission of the instructor.,"Note: event attendance may be required. Events fees may be required. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
VISA 4P03,Advanced Painting
Contemporary painting strategies and their dominant critiques. Readings in contemporary practice.,"Lectures, studio work, 5 hours per week."
"Note: materials fee required. Students may need additional materials, which they must supply. Field trips may be required. Students are expected to pay their own expenses. Due to space limitations, audits are not permitted in studio classes. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",VISA 4P04
Contemporary Painting,"Creation of a body of paintings that reflect the inter-relationships among critical strategies, personal mythologies, process and meaning."
"Lectures, studio work, 5 hours per week.","Note: materials fee required. Students may need additional materials, which they must supply. Field trips may be required. Students are expected to pay their own expenses. Due to space limitations, audits are not permitted in studio classes. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
#VISA 4P40,"Arts Management: Planning, Operations, Context"
"Effective management in the arts to fulfill social and artistic mandates. Focus on advocacy, organizational design, strategic planning and industry context to evolve an arts business, organization or career.","Seminar, 3 hours per week."
Prerequisite(s): students must have a minimum of 12.0 overall credits or permission of the instructor.,"Note: materials fee may be required. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
#VISA 4P41,"Arts Management: Programming, Marketing, Financing"
"Effective management in the arts to fulfill social and artistic mandates. Focus on creative programming and product creation, audience and client engagement, and resource evolution, including grants and fundraising.","Seminar, 3 hours per week."
Prerequisite(s): students must have a minimum of 12.0 overall credits or permission of the instructor.,"Note: materials fee may be required. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
#VISA 4P68,"Arts, Heritage and Culture: Public Policy and Governance"
"Examination of federal, provincial and municipal protocols governing heritage, fine and performing arts organizations and Canadian cultural production. Strategies for effective engagement of policy and planning through governance and community relations.","Lectures, seminar, 3 hours per week."
"Note: materials fee may be required. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",VISA 4P90
"Forbidden Knowledge, Dangerous Art","Works of art and other cultural objects that were banned or challenged for religious, moral or political reasons."
"Seminar, 3 hours per week.","Note: students may need field trip expenses which they must supply. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term."
#VISA 4V30-4V39,Special topics in Mediterranean Art and Architecture
Selected topics and problems in current art historical and archaeological research pertaining to the art and architecture of the ancient Greek or Roman world.,"Seminar, 3 hours per week."
VISA 4V70-4V79,Advanced Studies in Visual Culture
VISA 4V70,2021-2022: Issues in Contemporary Indigenous Art
"Exploration of ideas and practices in contemporary Indigenous art. Introduction to a broad range of local, national, and international practitioners and work across multiple mediums that draw upon histories of colonization, present-day contexts, and future directions charted by Indigenous communities, artists, curators, and scholars.","Lectures, seminar, 3 hours per week."
